FEATURESsort1	OGNTsort	OpenTextWord_KEY
000889	000889	40.2.23.w13
000890	000890	40.2.23.w14
000891	000891	40.2.23.w15
000892	000892	40.2.23.w16
000893	000893	40.2.23.w17
000894	000894	40.3.1.w1
000895	000895	40.3.1.w2
000896	000896	40.3.1.w3
000897	000897	40.3.1.w4
000898	000898	40.3.1.w5
000899	000899	40.3.1.w6
000900	000900	40.3.1.w7
000901	000901	40.3.1.w8
000902	000902	40.3.1.w9
000903	000903	40.3.1.w10
000904	000904	40.3.1.w11
000905	000905	40.3.1.w12
000906	000906	40.3.1.w13
000907	000907	40.3.1.w14
000908	000908	40.3.1.w15
000909	000909	40.3.2.w1
000910	000910	40.3.2.w2
000911	000911	40.3.2.w3
000912	000912	40.3.2.w4
000913	000913	40.3.2.w5
000914	000914	40.3.2.w6
000915	000915	40.3.2.w7
000916	000916	40.3.2.w8
000917	000917	40.3.2.w9
000918	000918	40.3.3.w1
